name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"DTLB-misses","ITLB-misses","L1D-misses","L1I-misses","LLC-misses","avg_size","bits","branch-misses","cycles","duration","failures","fpr","instructions","retries","size","task-clock"
"Xor_Nonpart_Scalar_2/MTCount/1250/10/1/10000/100000000/10/iterations:5/manual_time",5,46.8485,0.233474,ms,,,,,,-1,-1,-1,-1,-1,31296,25.0368,-1,-1,46.8485,0,0.250096,-1,0,31296,-1
"Xor_Nonpart_Scalar_2/MTCount/1300/10/1/10000/100000000/10/iterations:5/manual_time",5,47.9149,0.262026,ms,,,,,,-1,-1,-1,-1,-1,32512,26.0096,-1,-1,47.9149,0,0.250099,-1,0,32512,-1
"Xor_Nonpart_Scalar_3/MTCount/133/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4545,0.234468,ms,,,,,,-1,-1,-1,-1,-1,4992,3.9936,-1,-1,44.4545,0,0.125043,-1,0,4992,-1
"Xor_Nonpart_Scalar_3/MTCount/166/10/1/10000/100000000/10/iterations:5/manual_time",5,45.0797,0.269138,ms,,,,,,-1,-1,-1,-1,-1,6272,5.0176,-1,-1,45.0797,0,0.124953,-1,0,6272,-1
"Xor_Nonpart_Scalar_3/MTCount/200/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4087,0.229584,ms,,,,,,-1,-1,-1,-1,-1,7552,6.0416,-1,-1,44.4087,0,0.124982,-1,0,7552,-1
"Xor_Nonpart_Scalar_3/MTCount/233/10/1/10000/100000000/10/iterations:5/manual_time",5,44.5981,0.262172,ms,,,,,,-1,-1,-1,-1,-1,8768,7.0144,-1,-1,44.5981,0,0.125059,-1,0,8768,-1
"Xor_Nonpart_Scalar_3/MTCount/266/10/1/10000/100000000/10/iterations:5/manual_time",5,44.9218,0.22856,ms,,,,,,-1,-1,-1,-1,-1,9984,7.9872,-1,-1,44.9218,0,0.125038,-1,0,9984,-1
"Xor_Nonpart_Scalar_3/MTCount/300/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4544,0.254906,ms,,,,,,-1,-1,-1,-1,-1,11264,9.0112,-1,-1,44.4544,0,0.124995,-1,0,11264,-1
"Xor_Nonpart_Scalar_3/MTCount/333/10/1/10000/100000000/10/iterations:5/manual_time",5,45.4464,0.249714,ms,,,,,,-1,-1,-1,-1,-1,12544,10.0352,-1,-1,45.4464,0,0.125059,-1,0,12544,-1
"Xor_Nonpart_Scalar_3/MTCount/366/10/1/10000/100000000/10/iterations:5/manual_time",5,44.4085,0.27527,ms,,,,,,-1,-1,-1,-1,-1,13760,11.008,-1,-1,44.4085,0,0.125006,-1,0,13760,-1
"Xor_Nonpart_Scalar_3/MTCount/400/10/1/10000/100000000/10/iterations:5/manual_time",5,45.0085,0.264618,ms,,,,,,-1,-1,-1,-1,-1,15040,12.032,-1,-1,45.0085,0,0.125016,-1,0,15040,-1
"Xor_Nonpart_Scalar_3/MTCount/433/10/1/10000/100000000/10/iterations:5/manual_time",5,44.362,0.271224,ms,,,,,,-1,-1,-1,-1,-1,16256,13.0048,-1,-1,44.362,0,0.125001,-1,0,16256,-1
